Sport,CompetitionOrScope,Period,FixtureSource,ResultSource,DateSource,SourceURL,LicenceOrTerms,UsageNotes,Status
European Football,"Existing European domestic leagues (excluding Poland, Norway, Sweden, Romania)",Historical coverage through 2025/26,Wikipedia,Wikipedia,RSSSF,https://en.wikipedia.org/ ; https://www.rsssf.org/,Wikipedia: CC BY-SA. RSSSF: RSSSF used only to establish factual match dates for fixtures/results independently sourced from Wikipedia. Retain provenance and review RSSSF terms/database-right position before commercial launch.,Wikipedia is the source of fixture identity/results; RSSSF is used to attach corresponding factual match dates.,Current
European Football,Polish Ekstraklasa,2012/13 through 2025/26,Wikipedia,Wikipedia,Football-Data,https://en.wikipedia.org/ ; https://www.football-data.co.uk/,Wikipedia: CC BY-SA. Football-Data: retain provenance and review source terms before commercial launch.,Football-Data is used only to attach dates to fixtures/results independently sourced from Wikipedia.,Current / being built
European Football,Norwegian Eliteserien,Planned from 2012/13-equivalent coverage through 2025/26,Wikipedia,Wikipedia,Football-Data,https://en.wikipedia.org/ ; https://www.football-data.co.uk/,Wikipedia: CC BY-SA. Football-Data: retain provenance and review source terms before commercial launch.,"Planned same method as Poland: Wikipedia fixtures/results, Football-Data dates only.",Planned
European Football,Swedish Allsvenskan,Planned from 2012/13-equivalent coverage through 2025/26,Wikipedia,Wikipedia,Football-Data,https://en.wikipedia.org/ ; https://www.football-data.co.uk/,Wikipedia: CC BY-SA. Football-Data: retain provenance and review source terms before commercial launch.,"Planned same method as Poland: Wikipedia fixtures/results, Football-Data dates only.",Planned
European Football,Romanian SuperLiga,Planned from 2012/13-equivalent coverage through 2025/26,Wikipedia,Wikipedia,Football-Data,https://en.wikipedia.org/ ; https://www.football-data.co.uk/,Wikipedia: CC BY-SA. Football-Data: retain provenance and review source terms before commercial launch.,"Planned same method as Poland: Wikipedia fixtures/results, Football-Data dates only.",Planned
International Football,International matches,Historical/current dataset coverage,martj42 – International Football Results (Kaggle),martj42 – International Football Results (Kaggle),martj42 – International Football Results (Kaggle),https://www.kaggle.com/datasets/martj42/international-football-results-from-1872-to-2017,CC0 1.0 (Public Domain),International football match data sourced from the martj42 Kaggle dataset.,Current
Go,Historical games,Through 2025,GoGoD,GoGoD,GoGoD,https://gogodonline.co.uk/,Review GoGoD terms/permission before commercial launch.,Historical Go game source.,Current
Go,Games from 2026 onwards,2026 onwards,GoRatings,GoRatings,GoRatings,https://www.goratings.org/en,GoRatings by Rémi Coulom; review terms/permission before commercial launch.,Longer-term intention is to replace this source with J-Ratings' own more complex data-fetch pipeline.,"Current, replacement planned later"
Snooker,Professional snooker data,Current coverage,Snooker.org,Snooker.org,Snooker.org,https://www.snooker.org/,Data provided by Snooker.org; retain acknowledgement and any conditions agreed with the provider.,Data generously provided by Snooker.org. No source change currently planned.,Current
Rugby Union,Historical international results,Historical,International Rugby Union Results dataset (Kaggle),International Rugby Union Results dataset (Kaggle),International Rugby Union Results dataset (Kaggle),https://www.kaggle.com/datasets/lylebegbie/international-rugby-union-results-from-18712022,Check the Kaggle dataset licence/version used and retain attribution as required.,Primary historical international rugby results dataset.,Current
Rugby Union,Additional historical international results,Historical supplementation,RugbyDatabase,RugbyDatabase,RugbyDatabase,https://www.rugbydatabase.co.nz/,Review RugbyDatabase terms/permission before commercial launch.,Used as an additional historical reference/source.,Current
Rugby Union,Recent international matches,Recent/current,TheSportsDB API,TheSportsDB API,TheSportsDB API,https://www.thesportsdb.com/,Use subject to TheSportsDB API terms and plan conditions.,Recent match data source.,Current
European Football,Post-freeze ongoing results,After 2025/26,Wikipedia,Wikipedia,Wikipedia where available,https://en.wikipedia.org/,Wikipedia: CC BY-SA.,Planned ongoing results source after the historical dataset is frozen. Future fixture source still to be determined independently.,Planned
Other sports,Post-freeze ongoing results,After historical freeze,Wikipedia where practical,Wikipedia where practical,Wikipedia where practical,https://en.wikipedia.org/,Wikipedia: CC BY-SA.,"Planned general approach for future results, except Go and Snooker. Future fixture sources to be determined independently.",Planned
